"transection_cost","date","invoice_no","customer","no_of_products","weekend_orders","string_agg"
"214.11","2010-03-30","503181",14492,"14",0,"Tuesday"
"1254.22","2010-03-30","503183",18102,"20",0,"Tuesday"
"299.20","2010-03-30","503184",18102,"2",0,"Tuesday"
"4977.74","2010-03-30","503185",-1,"464",0,"Tuesday"
"6051.45","2010-03-30","503186",18102,"8",0,"Tuesday"
"110.70","2010-03-30","503187",15611,"3",0,"Tuesday"
"43.50","2010-03-30","503188",15611,"3",0,"Tuesday"
"171.90","2010-03-30","503189",14882,"4",0,"Tuesday"
"99.00","2010-03-30","503190",13694,"1",0,"Tuesday"
"1038.35","2010-03-30","503192",13952,"24",0,"Tuesday"
"307.90","2010-03-30","503193",18242,"18",0,"Tuesday"
"750.00","2010-03-30","503194",13952,"10",0,"Tuesday"
"156.87","2010-03-30","503195",15742,"41",0,"Tuesday"
"306.75","2010-03-30","503197",15633,"11",0,"Tuesday"
"107.58","2010-03-30","503198",13856,"8",0,"Tuesday"
"328.67","2010-03-30","503204",15680,"19",0,"Tuesday"
"23.40","2010-03-30","503217",18002,"7",0,"Tuesday"
"132.52","2010-03-30","503220",16658,"18",0,"Tuesday"
"976.08","2010-03-30","503226",13162,"14",0,"Tuesday"
"128.30","2010-03-30","503230",13676,"4",0,"Tuesday"
"3.75","2010-03-30","503232",-1,"1",0,"Tuesday"
"339.17","2010-03-30","503234",15808,"28",0,"Tuesday"
"397.39","2010-03-30","503235",17602,"59",0,"Tuesday"
"13.20","2010-03-30","503236",17602,"2",0,"Tuesday"
"258.45","2010-03-30","503237",18025,"26",0,"Tuesday"
"0.00","2010-03-30","503238",-1,"1",0,"Tuesday"
"0.00","2010-03-30","503239",-1,"1",0,"Tuesday"
"0.00","2010-03-30","503240",-1,"1",0,"Tuesday"
"389.81","2010-03-31","503241",14890,"28",0,"Wednesday"
"476.84","2010-03-31","503242",15792,"28",0,"Wednesday"
"502.80","2010-03-31","503243",12980,"3",0,"Wednesday"
"169.69","2010-03-31","503244",17377,"37",0,"Wednesday"
"389.49","2010-03-31","503245",15216,"22",0,"Wednesday"
"433.53","2010-03-31","503246",13803,"26",0,"Wednesday"
"357.00","2010-03-31","503247",13777,"4",0,"Wednesday"
"282.00","2010-03-31","503248",16954,"18",0,"Wednesday"
"349.20","2010-03-31","503250",18093,"4",0,"Wednesday"
"342.65","2010-03-31","503251",15754,"17",0,"Wednesday"
"179.61","2010-03-31","503252",13382,"10",0,"Wednesday"
"187.99","2010-03-31","503253",16085,"31",0,"Wednesday"
"181.15","2010-03-31","503255",13709,"12",0,"Wednesday"
"305.76","2010-03-31","503256",13798,"2",0,"Wednesday"
"16.44","2010-03-31","503258",17889,"5",0,"Wednesday"
"390.69","2010-03-31","503259",14706,"28",0,"Wednesday"
"416.85","2010-03-31","503260",16393,"72",0,"Wednesday"
"472.89","2010-03-31","503265",12835,"24",0,"Wednesday"
"121.68","2010-03-31","503268",17740,"1",0,"Wednesday"
"118.80","2010-03-31","503277",17460,"23",0,"Wednesday"
"312.51","2010-03-31","503293",13446,"23",0,"Wednesday"
"572.31","2010-03-31","503295",13179,"34",0,"Wednesday"
"63.15","2010-03-31","503328",15741,"3",0,"Wednesday"
"212.65","2010-03-31","503329",14527,"20",0,"Wednesday"
"174.14","2010-03-31","503330",15013,"36",0,"Wednesday"
"342.37","2010-03-31","503331",16212,"22",0,"Wednesday"
"382.55","2010-03-31","503332",13802,"14",0,"Wednesday"
"393.62","2010-03-31","503333",16133,"16",0,"Wednesday"
"612.00","2010-03-31","503334",13941,"1",0,"Wednesday"
"308.61","2010-03-31","503335",16133,"11",0,"Wednesday"
"152.50","2010-03-31","503336",13059,"18",0,"Wednesday"
"337.78","2010-03-31","503337",15046,"27",0,"Wednesday"
"190.95","2010-03-31","503338",18056,"11",0,"Wednesday"
"117.54","2010-03-31","503339",15660,"5",0,"Wednesday"
"473.59","2010-03-31","503340",13059,"79",0,"Wednesday"
"560.14","2010-03-31","503341",17531,"24",0,"Wednesday"
"253.88","2010-03-31","503342",16845,"20",0,"Wednesday"
"169.80","2010-03-31","503343",15796,"16",0,"Wednesday"
"128.59","2010-03-31","503344",15454,"16",0,"Wednesday"
"227.19","2010-03-31","503345",15800,"22",0,"Wednesday"
"65.73","2010-03-31","503346",15800,"24",0,"Wednesday"
"22.15","2010-03-31","503347",15800,"3",0,"Wednesday"
"52.51","2010-03-31","503348",15800,"20",0,"Wednesday"
"1576.18","2010-03-31","503349",15125,"33",0,"Wednesday"
"421.45","2010-03-31","503350",16847,"25",0,"Wednesday"
"79.95","2010-03-31","503351",15125,"1",0,"Wednesday"
"1400.26","2010-03-31","503352",15125,"26",0,"Wednesday"
"1062.84","2010-03-31","503353",15311,"47",0,"Wednesday"
"215.30","2010-03-31","503354",15573,"41",0,"Wednesday"
"300.87","2010-03-31","503355",12913,"8",0,"Wednesday"
"617.06","2010-03-31","503356",15270,"8",0,"Wednesday"
"305.00","2010-03-31","503358",15544,"18",0,"Wednesday"
"17.40","2010-03-31","503359",13209,"1",0,"Wednesday"
"121.85","2010-03-31","503360",16704,"8",0,"Wednesday"
"318.98","2010-03-31","503361",17049,"21",0,"Wednesday"
"254.92","2010-03-31","503362",18231,"33",0,"Wednesday"
"150.30","2010-03-31","503363",18231,"11",0,"Wednesday"
"76.23","2010-03-31","503365",13219,"11",0,"Wednesday"
"9.85","2010-03-31","503368",-1,"3",0,"Wednesday"
"4.60","2010-03-31","503370",-1,"2",0,"Wednesday"
"36.60","2010-03-31","503377",-1,"8",0,"Wednesday"
"110.30","2010-03-31","503379",13417,"7",0,"Wednesday"
"13.90","2010-03-31","503390",-1,"2",0,"Wednesday"
"228.96","2010-03-31","503391",14676,"3",0,"Wednesday"
"15.20","2010-03-31","503392",-1,"8",0,"Wednesday"
"37.93","2010-03-31","503393",-1,"10",0,"Wednesday"
"299.34","2010-03-31","503394",13464,"14",0,"Wednesday"
"300.35","2010-03-31","503395",13039,"18",0,"Wednesday"
"1262.75","2010-03-31","503397",14895,"43",0,"Wednesday"
"356.23","2010-03-31","503398",17083,"12",0,"Wednesday"
"2174.84","2010-03-31","503401",17428,"58",0,"Wednesday"
"287.90","2010-03-31","503402",17576,"22",0,"Wednesday"
"2964.58","2010-03-31","503426",-1,"272",0,"Wednesday"
"545.48","2010-03-31","503427",13576,"33",0,"Wednesday"
"1939.80","2010-03-31","503428",-1,"202",0,"Wednesday"
"0.00","2010-03-31","503429",-1,"1",0,"Wednesday"
"817.25","2010-04-01","503430",13361,"24",0,"Thursday"
"324.60","2010-04-01","503431",14643,"9",0,"Thursday"
"486.80","2010-04-01","503432",17739,"13",0,"Thursday"
"389.95","2010-04-01","503433",12609,"20",0,"Thursday"
"651.48","2010-04-01","503434",15251,"9",0,"Thursday"
"571.76","2010-04-01","503435",14893,"33",0,"Thursday"
"476.36","2010-04-01","503436",12662,"30",0,"Thursday"
"266.93","2010-04-01","503437",15689,"15",0,"Thursday"
"245.76","2010-04-01","503438",12417,"14",0,"Thursday"
"627.80","2010-04-01","503439",12647,"18",0,"Thursday"
"300.05","2010-04-01","503441",15606,"11",0,"Thursday"
"202.20","2010-04-01","503442",18009,"12",0,"Thursday"
"323.87","2010-04-01","503443",15754,"14",0,"Thursday"
"632.28","2010-04-01","503444",16377,"5",0,"Thursday"
"540.08","2010-04-01","503445",13327,"20",0,"Thursday"
"700.47","2010-04-01","503447",14916,"34",0,"Thursday"
"524.39","2010-04-01","503448",16779,"12",0,"Thursday"
"126.50","2010-04-01","503449",14796,"21",0,"Thursday"
"77.50","2010-04-01","503450",13582,"3",0,"Thursday"
"315.69","2010-04-01","503452",16347,"23",0,"Thursday"
"355.38","2010-04-01","503455",15311,"5",0,"Thursday"
"326.65","2010-04-01","503461",17603,"19",0,"Thursday"
"34.00","2010-04-01","503469",15311,"1",0,"Thursday"
"391.80","2010-04-01","503470",13408,"4",0,"Thursday"
"216.30","2010-04-01","503472",18241,"13",0,"Thursday"
"48.00","2010-04-01","503476",-1,"9",0,"Thursday"
"119.40","2010-04-01","503479",13408,"1",0,"Thursday"
"215.50","2010-04-01","503496",17841,"20",0,"Thursday"
"15.00","2010-04-01","503497",17539,"1",0,"Thursday"
"409.31","2010-04-01","503498",16551,"18",0,"Thursday"
"396.06","2010-04-01","503499",15173,"19",0,"Thursday"
"0.00","2010-04-01","503500",-1,"1",0,"Thursday"
"0.00","2010-04-01","503501",-1,"1",0,"Thursday"
"714.00","2010-04-01","503503",12583,"26",0,"Thursday"
"360.76","2010-04-01","503507",16713,"66",0,"Thursday"
"199.97","2010-04-01","503515",13196,"12",0,"Thursday"
"162.10","2010-04-01","503516",16434,"12",0,"Thursday"
"379.20","2010-04-01","503517",14200,"21",0,"Thursday"
"0.00","2010-04-01","503519",-1,"1",0,"Thursday"
"0.00","2010-04-01","503520",-1,"1",0,"Thursday"
"0.00","2010-04-01","503521",-1,"1",0,"Thursday"
"0.00","2010-04-01","503522",-1,"1",0,"Thursday"
"0.00","2010-04-01","503523",-1,"1",0,"Thursday"
"0.00","2010-04-01","503524",-1,"1",0,"Thursday"
"0.00","2010-04-01","503525",-1,"1",0,"Thursday"
"0.00","2010-04-01","503526",-1,"1",0,"Thursday"
"0.00","2010-04-01","503528",-1,"1",0,"Thursday"
"0.00","2010-04-01","503529",-1,"1",0,"Thursday"
"0.00","2010-04-01","503530",-1,"1",0,"Thursday"
"222.11","2010-04-01","503531",12708,"15",0,"Thursday"
"727.49","2010-04-01","503532",12472,"40",0,"Thursday"
"304.80","2010-04-01","503533",13397,"8",0,"Thursday"
"151.46","2010-04-01","503534",14239,"7",0,"Thursday"
"303.39","2010-04-01","503535",17700,"20",0,"Thursday"
"479.81","2010-04-01","503536",15023,"53",0,"Thursday"
"207.95","2010-04-01","503537",16130,"14",0,"Thursday"
"170.12","2010-04-01","503538",14692,"25",0,"Thursday"
"266.85","2010-04-01","503539",17920,"16",0,"Thursday"
"126.51","2010-04-01","503540",15198,"11",0,"Thursday"
"363.56","2010-04-01","503541",14748,"22",0,"Thursday"
"2831.66","2010-04-01","503542",14646,"31",0,"Thursday"
"235.19","2010-04-01","503543",17993,"64",0,"Thursday"
"313.10","2010-04-01","503545",13750,"17",0,"Thursday"
"303.10","2010-04-01","503546",16351,"17",0,"Thursday"
"864.80","2010-04-01","503547",14049,"77",0,"Thursday"
"298.88","2010-04-01","503548",16918,"55",0,"Thursday"
"2047.69","2010-04-01","503549",-1,"216",0,"Thursday"
"285.60","2010-04-01","503550",13929,"5",0,"Thursday"
"210.86","2010-04-01","503551",13291,"21",0,"Thursday"
"0.00","2010-04-01","503552",-1,"1",0,"Thursday"
"0.00","2010-04-01","503553",-1,"1",0,"Thursday"
"0.00","2010-04-01","503554",-1,"1",0,"Thursday"
"0.00","2010-04-01","503555",-1,"1",0,"Thursday"
"0.00","2010-04-01","503556",-1,"1",0,"Thursday"
"0.00","2010-04-01","503557",-1,"1",0,"Thursday"
"0.00","2010-04-01","503558",-1,"1",0,"Thursday"
"0.00","2010-04-01","503559",-1,"1",0,"Thursday"
"0.00","2010-04-01","503560",-1,"1",0,"Thursday"
"0.00","2010-04-01","503561",-1,"1",0,"Thursday"
"0.00","2010-04-01","503562",-1,"1",0,"Thursday"
"0.00","2010-04-01","503563",-1,"1",0,"Thursday"
"0.00","2010-04-01","503564",-1,"1",0,"Thursday"
"0.00","2010-04-01","503565",-1,"1",0,"Thursday"
"0.00","2010-04-01","503566",-1,"1",0,"Thursday"
"300.66","2010-04-01","503568",13089,"9",0,"Thursday"
"428.24","2010-04-01","503569",13074,"2",0,"Thursday"
"128.51","2010-04-01","503570",15863,"14",0,"Thursday"
"441.55","2010-04-01","503572",14441,"15",0,"Thursday"
"232.92","2010-04-01","503573",14790,"15",0,"Thursday"
"541.95","2010-04-01","503575",15856,"14",0,"Thursday"
"449.19","2010-04-01","503579",15768,"59",0,"Thursday"
"514.42","2010-04-01","503580",17044,"16",0,"Thursday"
"15.90","2010-04-01","503581",-1,"2",0,"Thursday"
"8.50","2010-04-01","503582",-1,"2",0,"Thursday"
"1.25","2010-04-01","503583",-1,"1",0,"Thursday"
"20.97","2010-04-01","503584",17961,"8",0,"Thursday"
"256.64","2010-04-01","503585",13047,"17",0,"Thursday"
"374.20","2010-04-01","503586",15222,"6",0,"Thursday"
"387.45","2010-04-01","503587",16167,"18",0,"Thursday"
"217.92","2010-04-01","503588",14713,"30",0,"Thursday"
"72.34","2010-04-01","503589",14710,"27",0,"Thursday"
"452.48","2010-04-01","503590",16054,"20",0,"Thursday"
"1505.89","2010-04-01","503591",17669,"43",0,"Thursday"
"285.08","2010-04-01","503592",18006,"16",0,"Thursday"
"178.20","2010-04-01","503593",14835,"1",0,"Thursday"
"244.31","2010-04-01","503594",14694,"15",0,"Thursday"
"104.50","2010-04-01","503595",17218,"12",0,"Thursday"
"0.00","2010-04-06","503596",-1,"1",0,"Tuesday"
"207.36","2010-04-06","503597",16754,"1",0,"Tuesday"
"296.80","2010-04-06","503598",16754,"1",0,"Tuesday"
"63.00","2010-04-06","503599",17949,"1",0,"Tuesday"
"216.00","2010-04-06","503600",17949,"1",0,"Tuesday"
"318.00","2010-04-06","503602",17949,"1",0,"Tuesday"
"721.80","2010-04-06","503603",16029,"3",0,"Tuesday"
"450.85","2010-04-06","503604",14489,"30",0,"Tuesday"
"204.00","2010-04-06","503605",16029,"1",0,"Tuesday"
"1275.60","2010-04-06","503606",17416,"49",0,"Tuesday"
"148.47","2010-04-06","503607",15774,"10",0,"Tuesday"
"412.58","2010-04-06","503608",17477,"26",0,"Tuesday"
"819.42","2010-04-06","503609",17457,"10",0,"Tuesday"
"589.52","2010-04-06","503611",18173,"14",0,"Tuesday"
"1008.00","2010-04-06","503612",13027,"6",0,"Tuesday"
"2.95","2010-04-06","503613",12997,"1",0,"Tuesday"
"477.08","2010-04-06","503614",14481,"32",0,"Tuesday"
"396.47","2010-04-06","503616",15215,"24",0,"Tuesday"
"283.78","2010-04-06","503666",13202,"13",0,"Tuesday"
"334.93","2010-04-06","503667",15493,"67",0,"Tuesday"
"321.45","2010-04-06","503668",15770,"18",0,"Tuesday"
"128.70","2010-04-06","503670",15367,"9",0,"Tuesday"
"300.20","2010-04-06","503671",16186,"13",0,"Tuesday"
"158.25","2010-04-06","503672",15367,"6",0,"Tuesday"
"321.05","2010-04-06","503673",15771,"14",0,"Tuesday"
"214.33","2010-04-06","503680",14035,"35",0,"Tuesday"
"89.25","2010-04-06","503683",17281,"1",0,"Tuesday"
"478.10","2010-04-06","503685",13881,"6",0,"Tuesday"
"0.00","2010-04-06","503686",-1,"1",0,"Tuesday"
"165.38","2010-04-06","503692",13939,"11",0,"Tuesday"
"173.89","2010-04-06","503693",16782,"52",0,"Tuesday"
"228.00","2010-04-06","503694",13710,"5",0,"Tuesday"
"252.30","2010-04-06","503695",14590,"9",0,"Tuesday"
"22.18","2010-04-06","503696",-1,"8",0,"Tuesday"
"269.70","2010-04-06","503697",16654,"14",0,"Tuesday"
"234.02","2010-04-06","503698",15164,"58",0,"Tuesday"
"0.00","2010-04-06","503699",-1,"1",0,"Tuesday"
"0.00","2010-04-06","503700",-1,"1",0,"Tuesday"
"0.00","2010-04-06","503701",-1,"1",0,"Tuesday"
"129.22","2010-04-06","503702",13071,"12",0,"Tuesday"
"430.95","2010-04-06","503703",17841,"43",0,"Tuesday"
"502.05","2010-04-06","503704",16746,"8",0,"Tuesday"
"429.96","2010-04-06","503705",16843,"12",0,"Tuesday"
"105.18","2010-04-06","503706",14990,"29",0,"Tuesday"
"0.00","2010-04-06","503707",-1,"1",0,"Tuesday"
"445.40","2010-04-06","503708",14221,"22",0,"Tuesday"
"261.10","2010-04-06","503709",14825,"31",0,"Tuesday"
"118.95","2010-04-06","503710",16266,"7",0,"Tuesday"
"47.50","2010-04-06","503711",12748,"4",0,"Tuesday"
"649.91","2010-04-06","503712",13089,"44",0,"Tuesday"
"252.52","2010-04-06","503713",14265,"14",0,"Tuesday"
"130.30","2010-04-06","503714",13432,"38",0,"Tuesday"
"263.13","2010-04-06","503716",14952,"6",0,"Tuesday"
"177.90","2010-04-06","503717",14952,"9",0,"Tuesday"
"480.70","2010-04-06","503718",15867,"37",0,"Tuesday"
"7.95","2010-04-06","503719",15867,"1",0,"Tuesday"
"332.37","2010-04-06","503720",15311,"7",0,"Tuesday"
"1471.86","2010-04-06","503721",-1,"165",0,"Tuesday"
"1076.46","2010-04-06","503723",13093,"21",0,"Tuesday"
"365.50","2010-04-06","503724",13050,"23",0,"Tuesday"
"214.20","2010-04-06","503725",13207,"4",0,"Tuesday"
"0.00","2010-04-06","503727",-1,"1",0,"Tuesday"
"307.26","2010-04-07","503729",13491,"20",0,"Wednesday"
"359.83","2010-04-07","503730",17563,"27",0,"Wednesday"
"598.04","2010-04-07","503731",15252,"36",0,"Wednesday"
"166.84","2010-04-07","503732",13911,"11",0,"Wednesday"
"680.04","2010-04-07","503766",16732,"35",0,"Wednesday"
"366.19","2010-04-07","503772",13632,"23",0,"Wednesday"
"368.60","2010-04-07","503773",16400,"48",0,"Wednesday"
"362.39","2010-04-07","503774",14606,"88",0,"Wednesday"
"143.12","2010-04-07","503775",13727,"17",0,"Wednesday"
"33.00","2010-04-07","503776",16941,"2",0,"Wednesday"
"238.50","2010-04-07","503777",13727,"30",0,"Wednesday"
"312.50","2010-04-07","503778",13769,"12",0,"Wednesday"
"330.45","2010-04-07","503780",14527,"28",0,"Wednesday"
"789.75","2010-04-07","503782",12711,"32",0,"Wednesday"
"1015.48","2010-04-07","503783",14156,"15",0,"Wednesday"
"1187.90","2010-04-07","503784",14680,"34",0,"Wednesday"
"12.75","2010-04-07","503785",13727,"1",0,"Wednesday"
"132.80","2010-04-07","503786",14590,"12",0,"Wednesday"
"450.05","2010-04-07","503787",14626,"28",0,"Wednesday"
"1017.60","2010-04-07","503790",13174,"117",0,"Wednesday"
"142.80","2010-04-07","503791",15854,"4",0,"Wednesday"
"614.63","2010-04-07","503795",14770,"27",0,"Wednesday"
"74.60","2010-04-07","503796",12931,"2",0,"Wednesday"
"482.58","2010-04-07","503797",14264,"29",0,"Wednesday"
"318.09","2010-04-07","503798",15521,"28",0,"Wednesday"
"414.05","2010-04-07","503799",-1,"17",0,"Wednesday"
"124.50","2010-04-07","503800",15827,"8",0,"Wednesday"
"418.25","2010-04-07","503801",15521,"13",0,"Wednesday"
"227.65","2010-04-07","503802",14514,"25",0,"Wednesday"
"823.40","2010-04-07","503804",15061,"6",0,"Wednesday"
"1154.40","2010-04-07","503805",15061,"3",0,"Wednesday"
"237.70","2010-04-07","503806",15061,"4",0,"Wednesday"
"3068.68","2010-04-07","503807",15061,"14",0,"Wednesday"
"785.26","2010-04-07","503808",15061,"8",0,"Wednesday"
"1117.64","2010-04-07","503809",15061,"17",0,"Wednesday"
"2213.20","2010-04-07","503810",12643,"9",0,"Wednesday"
"209.40","2010-04-07","503811",15112,"7",0,"Wednesday"
"135.55","2010-04-07","503812",17969,"9",0,"Wednesday"
"320.23","2010-04-07","503813",13723,"16",0,"Wednesday"
"1700.16","2010-04-07","503814",16656,"10",0,"Wednesday"
"166.23","2010-04-07","503815",13019,"8",0,"Wednesday"
"0.00","2010-04-07","503816",-1,"1",0,"Wednesday"
"0.00","2010-04-07","503817",-1,"1",0,"Wednesday"
"0.00","2010-04-07","503818",-1,"1",0,"Wednesday"
"0.00","2010-04-07","503819",-1,"1",0,"Wednesday"
"0.00","2010-04-07","503820",-1,"1",0,"Wednesday"
"293.06","2010-04-07","503821",15201,"15",0,"Wednesday"
"13.92","2010-04-07","503822",14916,"1",0,"Wednesday"
"1981.51","2010-04-07","503823",-1,"276",0,"Wednesday"
"389.43","2010-04-07","503824",13593,"25",0,"Wednesday"
"132.30","2010-04-07","503825",15323,"8",0,"Wednesday"
"128.08","2010-04-07","503826",12821,"7",0,"Wednesday"
"405.00","2010-04-07","503827",13640,"4",0,"Wednesday"
"636.60","2010-04-07","503828",12971,"10",0,"Wednesday"
"444.60","2010-04-07","503829",14667,"35",0,"Wednesday"
"1.55","2010-04-07","503830",16454,"1",0,"Wednesday"
"1103.80","2010-04-07","503831",12482,"11",0,"Wednesday"
"360.60","2010-04-07","503832",15738,"17",0,"Wednesday"
"874.84","2010-04-07","503833",12482,"11",0,"Wednesday"
"1749.68","2010-04-07","503834",12482,"11",0,"Wednesday"
"874.84","2010-04-07","503835",12482,"11",0,"Wednesday"
"874.84","2010-04-07","503836",12482,"11",0,"Wednesday"
"294.52","2010-04-07","503837",17738,"16",0,"Wednesday"
"98.90","2010-04-07","503838",17738,"5",0,"Wednesday"
"88.50","2010-04-07","503839",17707,"5",0,"Wednesday"
"222.25","2010-04-07","503842",16369,"11",0,"Wednesday"
"0.00","2010-04-07","503843",-1,"1",0,"Wednesday"
"418.10","2010-04-08","503844",18064,"4",0,"Thursday"
"204.60","2010-04-08","503845",17497,"3",0,"Thursday"
"442.50","2010-04-08","503846",14758,"22",0,"Thursday"
"147.12","2010-04-08","503847",14798,"12",0,"Thursday"
"187.35","2010-04-08","503848",13852,"11",0,"Thursday"
"907.10","2010-04-08","503849",12989,"6",0,"Thursday"
"1231.94","2010-04-08","503850",15640,"33",0,"Thursday"
"816.00","2010-04-08","503851",17553,"1",0,"Thursday"
"1383.60","2010-04-08","503852",14145,"5",0,"Thursday"
"394.66","2010-04-08","503853",15358,"21",0,"Thursday"
"247.50","2010-04-08","503854",12765,"13",0,"Thursday"
"246.05","2010-04-08","503855",17426,"15",0,"Thursday"
"453.04","2010-04-08","503856",17426,"20",0,"Thursday"
"47.40","2010-04-08","503858",12989,"1",0,"Thursday"
"1623.80","2010-04-08","503859",14855,"64",0,"Thursday"
"396.20","2010-04-08","503860",12422,"10",0,"Thursday"
"696.03","2010-04-08","503861",13107,"21",0,"Thursday"
"19.00","2010-04-08","503862",-1,"8",0,"Thursday"
"167.25","2010-04-08","503863",15309,"10",0,"Thursday"
"632.66","2010-04-08","503864",16053,"44",0,"Thursday"
"537.58","2010-04-08","503867",13712,"23",0,"Thursday"
"855.35","2010-04-08","503868",14918,"23",0,"Thursday"
"1239.83","2010-04-08","503869",17677,"34",0,"Thursday"
"138.29","2010-04-08","503870",12835,"15",0,"Thursday"
"4607.50","2010-04-08","503871",-1,"222",0,"Thursday"
"0.00","2010-04-08","503872",-1,"1",0,"Thursday"
"0.00","2010-04-08","503873",-1,"1",0,"Thursday"
"0.00","2010-04-08","503874",-1,"1",0,"Thursday"
"460.34","2010-04-08","503875",14813,"64",0,"Thursday"
"206.66","2010-04-08","503877",15005,"34",0,"Thursday"
"6.70","2010-04-08","503878",-1,"2",0,"Thursday"
"297.69","2010-04-08","503895",13278,"26",0,"Thursday"
"196.08","2010-04-08","503901",14450,"11",0,"Thursday"
"475.46","2010-04-08","503904",14533,"11",0,"Thursday"
"21.60","2010-04-08","503905",17961,"5",0,"Thursday"
"5.70","2010-04-08","503906",-1,"1",0,"Thursday"
"4614.18","2010-04-08","503907",18251,"21",0,"Thursday"
"433.72","2010-04-08","503921",15613,"27",0,"Thursday"
"404.58","2010-04-08","503922",17746,"13",0,"Thursday"
"297.94","2010-04-08","503923",14110,"7",0,"Thursday"
"540.16","2010-04-08","503924",15298,"33",0,"Thursday"
"314.85","2010-04-08","503925",15673,"10",0,"Thursday"
"240.57","2010-04-08","503926",12709,"33",0,"Thursday"
"894.00","2010-04-08","503927",18194,"5",0,"Thursday"
"26.25","2010-04-08","503928",12709,"5",0,"Thursday"
"1444.05","2010-04-08","503929",14105,"58",0,"Thursday"
"197.10","2010-04-08","503930",17110,"19",0,"Thursday"
"142.34","2010-04-08","503932",14562,"15",0,"Thursday"
"521.13","2010-04-08","503933",18065,"29",0,"Thursday"
"141.08","2010-04-08","503934",13611,"19",0,"Thursday"
"443.28","2010-04-08","503935",17047,"29",0,"Thursday"
"1183.38","2010-04-08","503936",14160,"13",0,"Thursday"
"414.72","2010-04-08","503937",17805,"1",0,"Thursday"
"227.40","2010-04-08","503938",15638,"3",0,"Thursday"
"33.00","2010-04-08","503939",14562,"2",0,"Thursday"
"3049.34","2010-04-08","503940",-1,"245",0,"Thursday"
"466.47","2010-04-08","503941",13044,"23",0,"Thursday"
"304.33","2010-04-08","503942",14299,"10",0,"Thursday"
"153.80","2010-04-08","503943",14299,"5",0,"Thursday"
"387.43","2010-04-08","503944",15768,"27",0,"Thursday"
"356.00","2010-04-08","503945",13668,"4",0,"Thursday"
"123.60","2010-04-08","503946",16168,"7",0,"Thursday"
"40.50","2010-04-08","503947",16168,"2",0,"Thursday"
"35.70","2010-04-08","503948",16168,"1",0,"Thursday"
"310.82","2010-04-08","503949",14924,"12",0,"Thursday"
"123.87","2010-04-08","503950",17362,"25",0,"Thursday"
"585.73","2010-04-08","503951",15062,"39",0,"Thursday"
"0.00","2010-04-08","503952",-1,"1",0,"Thursday"
"17.65","2010-04-08","503953",13163,"2",0,"Thursday"
"316.41","2010-04-08","503954",13999,"16",0,"Thursday"
"3242.22","2010-04-08","503955",13694,"17",0,"Thursday"
"521.54","2010-04-08","503956",13443,"93",0,"Thursday"
"992.64","2010-04-08","503959",13694,"6",0,"Thursday"
"15.00","2010-04-08","503960",12843,"1",0,"Thursday"
"195.00","2010-04-08","503961",13694,"3",0,"Thursday"
"172.40","2010-04-08","503962",13694,"2",0,"Thursday"
"232.62","2010-04-08","503963",16365,"25",0,"Thursday"
"303.90","2010-04-08","503964",12998,"22",0,"Thursday"
"412.85","2010-04-08","503965",14548,"23",0,"Thursday"
"33.26","2010-04-08","503966",14548,"5",0,"Thursday"
"300.70","2010-04-08","503968",15129,"15",0,"Thursday"
"247.50","2010-04-08","503969",15311,"3",0,"Thursday"
"303.45","2010-04-08","503971",13446,"15",0,"Thursday"
"196.55","2010-04-08","503972",17180,"46",0,"Thursday"
"178.35","2010-04-08","503973",12987,"8",0,"Thursday"
"381.98","2010-04-08","503975",17529,"23",0,"Thursday"
"277.85","2010-04-08","503976",17602,"52",0,"Thursday"
"168.04","2010-04-08","503977",14702,"18",0,"Thursday"
"245.85","2010-04-08","503978",13291,"27",0,"Thursday"
"708.76","2010-04-08","503979",13735,"41",0,"Thursday"
"646.80","2010-04-09","503980",13762,"9",0,"Friday"
"373.01","2010-04-09","503981",13197,"19",0,"Friday"
"488.30","2010-04-09","503982",18271,"12",0,"Friday"
"216.00","2010-04-09","503984",17949,"1",0,"Friday"
"1888.31","2010-04-09","503985",12468,"57",0,"Friday"
"374.95","2010-04-09","503986",16040,"22",0,"Friday"
"933.80","2010-04-09","503987",14961,"37",0,"Friday"
"162.72","2010-04-09","503988",18246,"1",0,"Friday"
"534.19","2010-04-09","503989",17314,"31",0,"Friday"
"175.90","2010-04-09","503990",-1,"29",0,"Friday"
"762.28","2010-04-09","503991",16341,"36",0,"Friday"
"0.00","2010-04-09","503992",-1,"1",0,"Friday"
"0.00","2010-04-09","503993",-1,"1",0,"Friday"
"101.36","2010-04-09","503994",16944,"7",0,"Friday"
"716.46","2010-04-09","503995",13798,"7",0,"Friday"
"225.60","2010-04-09","503997",15223,"6",0,"Friday"
"25.50","2010-04-09","504000",16013,"1",0,"Friday"
"255.00","2010-04-09","504001",16013,"1",0,"Friday"
"99.49","2010-04-09","504002",16412,"19",0,"Friday"
"613.10","2010-04-09","504020",13552,"17",0,"Friday"
"728.50","2010-04-09","504026",12786,"18",0,"Friday"
"162.75","2010-04-09","504064",17289,"27",0,"Friday"
"325.44","2010-04-09","504065",16087,"1",0,"Friday"
"368.39","2010-04-09","504082",17841,"37",0,"Friday"
"319.69","2010-04-09","504092",13971,"19",0,"Friday"
"70.30","2010-04-09","504093",13080,"4",0,"Friday"
"336.90","2010-04-09","504094",12681,"14",0,"Friday"
